fit_date,regime,hypothesis,weight
2023-03-01,neutral,crypto_derivatives,0.2
2023-03-01,neutral,classic_cycle,0.2
2023-03-01,neutral,etf_flows,0.2
2023-03-01,bear,macro_equities,0.10014313176223935
2023-03-01,bear,cme,0.7593839687516112
2023-03-01,bear,crypto_derivatives,0.020198027580483988
2023-03-01,bear,classic_cycle,0.12027487190566549
2023-03-01,bear,etf_flows,0.0
2023-04-01,bull,macro_equities,0.2
2023-04-01,bull,cme,0.2
2023-04-01,bull,crypto_derivatives,0.2
2023-04-01,bull,classic_cycle,0.2
2023-04-01,bull,etf_flows,0.2
2023-04-01,neutral,macro_equities,0.2
2023-04-01,neutral,cme,0.2
2023-04-01,neutral,crypto_derivatives,0.2
2023-04-01,neutral,classic_cycle,0.2
2023-04-01,neutral,etf_flows,0.2
2023-04-01,bear,macro_equities,0.13642134578367526
2023-04-01,bear,cme,0.6815333579063766
2023-04-01,bear,crypto_derivatives,0.02518736945570718
2023-04-01,bear,classic_cycle,0.15685792685424094
2023-04-01,bear,etf_flows,0.0
2023-05-01,bull,macro_equities,0.2
2023-05-01,bull,cme,0.2
2023-05-01,bull,crypto_derivatives,0.2
2023-05-01,bull,classic_cycle,0.2
2023-05-01,bull,etf_flows,0.2
2023-05-01,neutral,macro_equities,0.2
2023-05-01,neutral,cme,0.2
2023-05-01,neutral,crypto_derivatives,0.2
2023-05-01,neutral,classic_cycle,0.2
2023-05-01,neutral,etf_flows,0.2
2023-05-01,bear,macro_equities,0.15465056082830025
2023-05-01,bear,cme,0.6163589301121656
2023-05-01,bear,crypto_derivatives,0.047627264883520176
2023-05-01,bear,classic_cycle,0.18136324417601396
2023-05-01,bear,etf_flows,0.0
2023-06-01,bull,macro_equities,0.2
2023-06-01,bull,cme,0.2
2023-06-01,bull,crypto_derivatives,0.2
2023-06-01,bull,classic_cycle,0.2
2023-06-01,bull,etf_flows,0.2
2023-06-01,neutral,macro_equities,0.46079350203061525
2023-06-01,neutral,cme,0.13277100905966893
2023-06-01,neutral,crypto_derivatives,0.3905029678225555
2023-06-01,neutral,classic_cycle,0.015932521087160263
2023-06-01,neutral,etf_flows,0.0
2023-06-01,bear,macro_equities,0.1567992443409911
2023-06-01,bear,cme,0.6068886415005229
2023-06-01,bear,crypto_derivatives,0.05262625240360285
2023-06-01,bear,classic_cycle,0.18368586175488316
2023-06-01,bear,etf_flows,0.0
2023-07-01,bull,macro_equities,0.2
