taper,lt,dt,full_sharpe_365,full_total,full_maxdd,hold_sharpe_365,hold_total,hold_maxdd,whipsaw
production,0.55,0.7,1.200916234651192,5.344339595835644,-0.3806200540082606,1.1906666775739145,0.28632787171936447,-0.1929882583978869,0.09240007506098707
narrow,0.58,0.68,1.1693030739065264,5.108421594609143,-0.3976424301826619,1.0912734036257288,0.26165677719016056,-0.2098138872545976,0.0943666729217489
slightly wide,0.52,0.73,1.2198342427228697,5.465888251715356,-0.3595205155109764,1.2600090231938312,0.3026186780348621,-0.18399764288671083,0.09306490094630458
medium wide,0.5,0.75,1.2191718333794603,5.403436341273995,-0.3529906883498526,1.263567575587629,0.30165124221751616,-0.18346950496875447,0.09426158753987617
wide,0.45,0.8,1.2419430192179632,5.559339708840382,-0.31873066005569517,1.2870903353123329,0.3051579226572556,-0.1817258067171631,0.09544004503659224
very wide,0.4,0.85,1.254424398473889,5.610062155880759,-0.2861421154459134,1.2485377435552643,0.292185488913951,-0.18834857362613344,0.09400137611809596
extreme wide,0.35,0.9,1.232641082778144,5.259451455402339,-0.2724836653059518,1.211968190651653,0.2810147491787778,-0.20010745707184951,0.09574028898480015
