alpha,full_sharpe,full_total,full_maxdd,hold_sharpe,hold_total,full_auc,hold_auc
0.0,1.179158699581699,5.079048801903369,-0.3814528248571736,1.0971248327666805,0.25771351702205747,0.742834568219748,0.8803127221037669
0.05,1.1895362090952204,5.190304116194794,-0.37698626331462504,1.1192246495560871,0.265623690859192,0.7397245088000773,0.8807865434731107
0.1,1.2177246740437118,5.543585436268336,-0.3698154323915993,1.1384459754337062,0.2727884210468252,0.7365318100828006,0.8811656005685856
0.15,1.221813048053544,5.569931766388572,-0.3605590562200912,1.155800205745811,0.2786437426208026,0.733302830698282,0.88197109689647
0.2,1.2464438157034363,5.83619564330093,-0.34398237670866805,1.2316284880015806,0.30025806066458127,0.7299186506816734,0.8819710968964701
0.3,1.305869553426512,6.577424055951071,-0.3262737495788073,1.4541793893815964,0.3648287760122393,0.7223299444502672,0.882350153991945
0.5,1.421325519359492,8.430169681342226,-0.30844155188608147,1.7218473385625628,0.46422985991534094,0.7056630090379173,0.881449893390192
0.7,1.425199525413329,8.7595789921155,-0.31119135599088443,1.6624601255931295,0.4576221116101902,0.6869300911854104,0.8765221511490169
1.0,1.4977847384499732,10.37695548345816,-0.30065658075052026,1.7264157592953822,0.4938644792787874,0.6526408294566769,0.8619758351101635
